orderNo,contact,serviceList,partList,status,createdOn,vertical,totalAmount,subTotal,discount,approved,Final Status
10855,1535,|Brake Replacement - 2 Tyre |Disc Turning|Maintece & Tuning|Catalytic Convertor Replacement|Fuel Pump Replacement,|Mk - Brake Parts - Rear Brake Shoe City 2009-2015|Honda Genuine-Oil Filter Honda|Leppon - Air Filter City 2009-2021|Honda Genuine - Engine Oil 10W-30 4 liter|Kabuli Used Genuine - Front Brake Disc City 2009-2015|Kabuli Used Genuine - Fuel Pump City 2009-2015|Unbranded China - Catalytic Converter City 2009-2015,CANCELLED, Feb,NON_PREVENTIVE,49030,49120,90,F,cancelled
10856,1516,|Sensor Scanning/Error Resolution,,CANCELLED, Feb,PREVENTIVE,0,500,500,T,cancelled
10857,1220,|Side Mirror Replacement,|Unbranded China - Side Mirror Cover Reborn ,ORDER_COMPLETED, Feb,NON_PREVENTIVE,1430,1435,5,T,completed
10858,1586,|Sensor Scanning/Error Resolution,,ORDER_COMPLETED, Feb,PREVENTIVE,500,500,0,T,completed
10859,1587,|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,250,250,0,T,completed
10860,1588,|Body & Paint Inspection,,CANCELLED, Feb,DIAGNOSIS,0,250,250,F,cancelled
10861,1589,|Body & Paint Inspection,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,250,250,T,completed
10862,1590,|Sensor Scanning/Error Resolution|Electrical Diagnosis|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,250,1000,750,T,completed
10863,1591,|Mechanical Diagnosis|Sensor Scanning/Error Resolution,,ORDER_COMPLETED, Feb,DIAGNOSIS,250,250,0,T,completed
10864,1546,|Rework,,ORDER_COMPLETED, Feb,REWORK,0,1,1,T,completed
10865,1592,|Complete Engine Overhaul,,CANCELLED, Feb,NON_PREVENTIVE,60000,60000,0,F,cancelled
10866,885,|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,250,250,T,completed
10867,1593,|Brake Service - 4 Tyre|Mechanical Diagnosis|Disc Turning,,ORDER_COMPLETED, Feb,DIAGNOSIS,2200,2750,550,T,completed
10868,1594,|Body & Paint Inspection,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,250,250,T,completed
10869,1595,|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,0,0,T,completed
10870,885,|Bumper Fitting,,ORDER_COMPLETED, Feb,NON_PREVENTIVE,1500,1500,0,T,completed
10871,1596,|Mechanical Diagnosis|Electrical Diagnosis|Sensor Scanning/Error Resolution|Complete Vehicle Inspection,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,2500,2500,T,completed
10872,1597,|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,250,250,T,completed
10873,1595,|Mechanical Diagnosis|Electrical Diagnosis|Sensor Scanning/Error Resolution,,CANCELLED, Feb,DIAGNOSIS,0,0,0,F,cancelled
10874,1598,|Denting/Painting Quotation,,ORDER_COMPLETED, Feb,CAR_SPA,0,250,250,T,completed
10875,1599,|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,250,250,T,completed
10876,1600,|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,250,250,T,completed
10877,120,|Parts Delivery,"|BITURBO  - Wheel Cap 12 Inch 4PC Set |BITURBO  - Wheel Cap 4PC Set 13 Inch |BITURBO  - Wheel Cap 14 Inch 4 PC Set |BITURBO  - Wheel Cap 15 Inch Corolla 2014-2020, Corolla 2008-2014 & Corolla 2002-2008",ORDER_COMPLETED, Feb,PARTS_LOGISTICS,51300,51300,0,T,completed
10878,94,|Parts Delivery,|Honda Genuine - Front Bumper Civic Rebirth |Honda Genuine - Front Bumper Spacer Civic Rebirth |Unbranded Local - Clip Bumper|Honda Genuine - Headlight Civic Rebirth |Honda Genuine - Fog Lamp Civic Rebirth |Honda Genuine - Fog Lamp Cover Civic Rebirth|Honda Genuine - Fender Shield Civic Rebirth|Unbranded Local - Clip Fender|Honda Genuine - Engine Shield Set Civic Rebirth |Honda Genuine - Horn Set Civic Rebirth |Honda Genuine - Sound Box Assy Civic Rebirth |Honda Genuine - L/S Front SRS Sensor Civic Rebirth,CANCELLED, Feb,PARTS_LOGISTICS,176574,176574,0,F,cancelled
10879,6,|Parts Delivery,|Kabuli Used Genuine - Side Mirror With Cover  - Civic 2017 - 2021,CANCELLED, Feb,PARTS_LOGISTICS,12100,12100,0,F,cancelled
10880,1601,|Mechanical Diagnosis|Sensor Scanning/Error Resolution,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,500,500,T,completed
10881,1602,|Mechanical Diagnosis|Sensor Scanning/Error Resolution,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,500,500,T,completed
10882,120,|Parts Delivery,|Unbranded - Paint Invoice 9823|Unbranded - Paint Invoice 9824|Unbranded - Paint Invoice 9825|Unbranded - Paint Invoice 9826|Unbranded - Paint Invoice 9827|Unbranded - Paint Invoice 9828|Unbranded - Paint Invoice 9829|Unbranded - Paint Invoice 9830|Unbranded - Paint Invoice 9831|Unbranded - Paint Invoice 9832|Unbranded - Paint Invoice 9833,ORDER_COMPLETED, Feb,PARTS_LOGISTICS,83184,83184,0,T,completed
10883,6,|Parts Delivery,|Malaysia -Front Bumper Corolla |Unbranded China - Front Bumper Spacer Set Corolla 2014-21|TYC Taiwan - Headlight Corolla 2014-2017 R/H|TYC Taiwan - Headlight Corolla 2014-2017 L/H|Unbranded Taiwan -Front Fender R/S Corolla  2014-2017|Unbranded Taiwan - Side Mirrors R/S Corolla 2017-2021|Unbranded China - Show Grille Chrome + base  Complete Crollla 2014-2017|Unbranded Taiwan - Bonnet Corolla 2014-2017|Unbranded Local - Clip Bumper,CANCELLED, Feb,PARTS_LOGISTICS,71060,71060,0,F,cancelled
10884,533,|Belt Replacement|AC Diagnosis|Maintece & Tuning|Catalytic Cleaning,,ORDER_COMPLETED, Feb,DIAGNOSIS,1350,3150,400,T,completed
10885,6,|Parts Delivery,|Unbranded China - Cultus EFI Taillight RH|Unbranded China - Parking Light RH Cultus 2008-17|Unbranded China - Headlight RH Cultus 2008-17,CANCELLED, Feb,PARTS_LOGISTICS,7205,7205,0,F,cancelled
10886,1603,|Maintece & Tuning,,ORDER_COMPLETED, Feb,PREVENTIVE,400,1200,800,T,completed
10887,1604,|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,250,250,T,completed
10888,1465,|Headlight Installation,|Unbranded China - Headlight Wagon R Pakistani,CANCELLED, Feb,NON_PREVENTIVE,20420,20420,0,F,cancelled
10889,1605,|Long Distance Surcharge|Brake Replacement - 4 Tyre|Disc Turning (Front And Rear),|Mk - Front Brake Pad corolla 2008-2021|Mk - Rear Brake Pad corolla rear brake pad 08-20 prius 16-19 Hybrid,CANCEL_ON_QUOTATION, Feb,NON_PREVENTIVE,9485,9485,0,F,cancelled
10890,1606,|Body & Paint Inspection,,CANCELLED, Feb,DIAGNOSIS,250,250,0,T,cancelled
10891,6,|Parts Delivery,|TYC Taiwan - Body Parts - Taillight L/S City 2015-2018,CANCELLED, Feb,PARTS_LOGISTICS,5500,5500,0,F,cancelled
10892,94,|Parts Delivery,|Kabuli Used Genuine - Show Grille Vezel,CANCELLED, Feb,PARTS_LOGISTICS,24570,24570,0,T,cancelled
10893,1607,|Body & Paint Inspection,,ORDER_COMPLETED, Feb,DIAGNOSIS,250,250,0,T,completed
10894,6,|Parts Delivery,|SKI Taiwan - Body Parts - Rear Bumper Cultus 2014|Unbranded China - Side Mirrors Left Side Cultus 2000-2017,CANCELLED, Feb,PARTS_LOGISTICS,1870,1870,0,F,cancelled
10895,1580,|Body & Paint Inspection,,CANCELLED, Feb,DIAGNOSIS,250,250,0,T,cancelled
10896,1608,|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,250,250,T,completed
10897,1609,|Body & Paint Inspection,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,250,250,T,completed
10898,1610,|Body & Paint Inspection,,ORDER_COMPLETED, Feb,DIAGNOSIS,0,250,250,T,completed
10899,1611,|Mechanical Diagnosis,,CANCELLED, Feb,DIAGNOSIS,250,250,0,T,cancelled
10900,6,|Parts Delivery,|Honda Genuine - Rear Bumper Civic 2017-2021|Honda Genuine - Side Mirror LH - Civic 2017 - 2021|Honda Genuine - Taillight LH Civic 2017-2021|Honda Genuine - Trunk door light Civic 2017-2021,CANCELLED, Feb,PARTS_LOGISTICS,88495,88495,0,F,cancelled
10901,6,|Parts Delivery,|Kabuli Used Genuine - Front Bumper With Clips Passo 2010-2015,CANCELLED, Feb,PARTS_LOGISTICS,37400,37400,0,F,cancelled
10902,6,|Parts Delivery,|Malaysia -Front Bumper Corolla |Unbranded China - Show Grille Chrome + base  Complete Crollla 2014-2017|Unbranded China - Fender Shield RH Corolla 2014-21|Unbranded China - Front Bumper Spacer Set Corolla 2014-21|Unbranded Local - Clip Bumper,CANCELLED, Feb,PARTS_LOGISTICS,12210,12210,0,F,cancelled
10903,1463,|Rework,,ORDER_COMPLETED, Feb,REWORK,0,30,30,T,completed
10904,1612,|Mechanical Diagnosis,,CANCELLED, Feb,DIAGNOSIS,250,250,0,T,cancelled
10906,1613,|Body & Paint Inspection,,CANCELLED, Feb,DIAGNOSIS,250,250,0,F,cancelled
10907,6,|Parts Delivery,|Unbranded China - Headlight LH Cultus 2008-17|Unbranded China - Parking Light LH Cultus 2008-17|XYG - Windscreen - Front Wind Screen Cultus 2000-2017|Unbranded China - Silicon,CANCELLED, Feb,PARTS_LOGISTICS,12980,12980,0,F,cancelled
10908,1614,|Brake Service - 4 Tyre,,CANCELLED, Feb,PREVENTIVE,950,1500,550,T,cancelled
10909,1615,|Body & Paint Inspection,,ORDER_COMPLETED, Feb,DIAGNOSIS,250,250,0,T,completed
10910,1182,|Catalytic Convertor Replacement,|Unbranded China - Catalytic Converter Prius 2007,CANCELLED, Feb,NON_PREVENTIVE,40500,40500,0,F,cancelled
10911,1616,|Catalytic Cleaning|Maintece & Tuning,|Leppon - Oil Filter Vitz 2005-2011|Leppon - Air Filter Vitz 2005-2011|Toyota Genuine - Engine Oil Petron Plus 3 liter10W-30,CANCELLED, Feb,PREVENTIVE,5125,6525,1400,F,cancelled
10912,1280,|Maintece & Tuning,,ORDER_COMPLETED, Feb,PREVENTIVE,750,1500,750,T,completed
10913,1617,|Mechanical Diagnosis|Sensor Scanning/Error Resolution,,CANCELLED, Feb,DIAGNOSIS,500,750,250,T,cancelled
10914,1618,|Body & Paint Inspection,,CANCELLED, Feb,DIAGNOSIS,250,250,0,T,cancelled
10915,1616,|Maintece & Tuning,,CANCELLED, Feb,PREVENTIVE,1200,1200,0,F,cancelled
10916,6,|Parts Delivery,|Honda Genuine - Front Wind Screen - City 2009-2021|Honda Genuine - Taillight LHS - City 2018,CANCELLED, Feb,PARTS_LOGISTICS,46145,46145,0,F,cancelled
10917,22,|Parts Delivery,|Kabuli Used Genuine - Oxygen Sensor Nissan 350Z,ORDER_COMPLETED, Feb,PARTS_LOGISTICS,5150,5150,0,T,completed
10918,1619,"|Attogenetic Graphene Oxide 10H Coating - Exterior, Rims, Windshield & Trims",,CANCELLED, Feb,NON_PREVENTIVE,48000,48000,0,F,cancelled
10919,1620,|Maintece & Tuning|Catalytic Cleaning,,CANCELLED, Feb,PREVENTIVE,1000,2400,1400,T,cancelled
10920,1621,|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,250,250,0,T,completed
10921,1622,|Body & Paint Inspection|Battery Jump Start,,CANCELLED, Feb,DIAGNOSIS,750,750,0,T,cancelled
10922,1596,|Brake Replacement - 4 Tyre|Disc Turning (Front And Rear)|Complete Engine Care,|Leppon - Air Filter Swift Pakistani 2008-2021|Leppon - Cabin Filter Swift|Mk - Front Brake Pad Swift Pakistani 2008-2021|Mk - Rear Brake Shoe Swift pakistani 2008-2021|Ngk-Spark Plug,ORDER_COMPLETED, Feb,NON_PREVENTIVE,14300,18210,3910,T,completed
10923,1621,|Mechanical Diagnosis,,ORDER_COMPLETED, Feb,DIAGNOSIS,250,250,0,T,completed
10924,183,|Valet,,ORDER_COMPLETED, Feb,VALET,0,250,250,T,completed
10925,1554,|Complete Engine Overhaul|Suspension Overhaul|Foundation Replacement|Brake Replacement - 4 Tyre|Disc Turning (Front And Rear),|Unbranded China - Engine Foundation Cultus Old|Mk - Front Brake Pad Cultus 2000-17|Mk - Rear Brake Shoe cultus 2000-17,CANCELLED, Feb,NON_PREVENTIVE,84000,84735,735,F,cancelled
10926,1623,|Bumper Paint|Bumper Repair,,CANCELLED, Feb,NON_PREVENTIVE,5500,5500,0,F,cancelled
10927,1624,|Engine Replacement/Swap|Transmission Rebuild/Swap|Ecu Replacement/Repair|Electric Work,|Kabuli Used Genuine - Engine Assembly With Auto Transmission Alto VXR Swap 660CC,CANCELLED, Feb,NON_PREVENTIVE,195000,195000,0,F,cancelled
10928,1343,|Gear Oil Change|Sensor Scanning/Error Resolution|Side Mirror Replacement,|Zic - Gear Oil CVTF 1 Liter |Kabuli Used Genuine - Side Mirror RH Moco,CANCELLED, Feb,NON_PREVENTIVE,16080,16280,200,F,cancelled
10929,1625,|Body & Paint Inspection|Long Distance Surcharge,,ORDER_COMPLETED, Feb,DIAGNOSIS,500,750,250,T,completed
10930,1553,|Electric Work,,CANCELLED, Feb,NON_PREVENTIVE,1500,1500,0,F,cancelled
10931,414,|Mechanical Diagnosis,,CANCELLED, Feb,DIAGNOSIS,250,250,0,T,cancelled
10932,1595,|Maintece & Tuning|Brake Service - 4 Tyre|Axle Boots Replacement|Foundation Replacement|Lathe Work|Radiator Replacement|Fuel Refill,|Nisto Thailand -  Gear Foundation Chuha City|Nisto Thailand - Gear Foundation Lower Chuha City |HBK - Suspension - Axle Boout Outer Chuha City |Coolex - Radiator Chuha City Manual |Osaka Green - Coolant & Anti-Freeze|Unbranded Local - Clip Bumper,ORDER_COMPLETED, Feb,NON_PREVENTIVE,28500,30609,2109,T,completed
10933,1586,|Maintece & Tuning|Generator Dynamo Repair/Replacement|Sensor Replacement,|Kabuli Used Genuine - Generator Moco|Kabuli Used Genuine - Cam Sensor Moco,CANCELLED, Feb,NON_PREVENTIVE,11745,11945,200,F,cancelled
10934,414,|Mechanical Diagnosis,,CANCELLED, Feb,DIAGNOSIS,0,250,250,T,cancelled
10935,1626,|Long Distance Surcharge|Body & Paint Inspection,,CANCELLED, Feb,DIAGNOSIS,500,750,250,T,cancelled
10936,1627,|Basic Maintece,|Shell - Engine Oil 10W-40 4 Liter|Leppon - Oil Filter |Leppon - Cabin Filter Corolla 2008-2020,CANCELLED, Feb,PREVENTIVE,5184,5184,0,T,cancelled
10937,1628,|Mechanical Diagnosis,,CANCELLED, Feb,DIAGNOSIS,0,250,250,F,cancelled
10938,1628,|Brake Service - 4 Tyre,,CANCELLED, Feb,PREVENTIVE,1500,1500,0,F,cancelled
10939,384,|Rework,,ORDER_COMPLETED, Feb,REWORK,0,0,0,T,completed
10940,94,|Parts Delivery,|Toyota Genuine - Taillight R/S Land Cruiser,CANCELLED, Feb,PARTS_LOGISTICS,29250,29250,0,T,cancelled
10941,94,|Parts Delivery,,CANCELLED, Feb,PARTS_LOGISTICS,0,0,0,F,cancelled
10942,1529,|Valet,,ORDER_COMPLETED, Feb,VALET,0,500,500,T,completed
